name~email~password~password_confirmation~admin~event~venue~press~vendor~activated~activated_at~zip~address~tdescription_list~tlocation_list~describe
"Front End Peer Mentoring"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" css, front end, javascript, jquery  "~" 2626 SW Corbett Ave"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~us"
"Front End Peer Mentoring"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" css, front end, javascript, jquery  "~" 2626 SW Corbett Ave"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~us"
"CTRL-H - PDX Hackerspace - CTRL-H Open House"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" meetup:event=236294999, meetup:group=CTRL-H, woodworking, open source, robotics, electronics, microcontrollers, diy (do it yourself), hacking, 3d modeling, makers, computer programming, makerspaces, 3D Printing, diy technology, fabrication, cnc routing and machining 
"~" 7608 N Interstate Ave"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~us"
"Learn to Code Friday"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" javascript, html, css, python, beginner, learn  "~" 2626 SW Corbett Ave"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~us"
"Portland Geek Dinner - DOWNTOWN!"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~"Tags: No Tags"~"NOADDRESS"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"~NOADDRESS~"
"RainSec"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" security, computer security, information security, infosec, netsec, citysec, cybersecurity, hacking  "~" 915 SE Hawthorne Boulevard"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"Oregon~Portland~US"
"From Coraline to Kubo: A history of LAIKA's Films (Rescheduled from snow) "~"2_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~"Tags: No Tags"~" 5131 NE 23rd Ave."~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~USA"
"BSD Pizza Night"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" bsd, pizza, beer, OpenBSD, FreeBSD, NetBSD, DragonFlyBSD, Bitrig  "~" 839 SE Belmont"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"Oregon~Portland~USA"
"Holiday Pizza Party with your Creative Community"~"2_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" creative, community, events, networking, design, pizza, meetup, entrepreneur, party  "~" 707 Southwest Washington Street"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~US"
"Jesse McCulloch: Hello World – HoloLens Edition!"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~"Tags: No Tags"~" false"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"~false~"
"Portland Ruby Brigade monthly meeting"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" ruby, pdx.rb, meetup  "~" 111 SW 5th Avenue"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"Oregon~Portland~United"
"Portland 1 Million Cups: Meet Cannabis Connect"~"2_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" meetup:event=235482621, meetup:group=1-Million-Cups-Portland, small business, marketing, professional development, new technology, professional networking, business strategy, entrepreneurship, entrepreneur networking, small business owners, women's business networking, startup businesses, lean startup, technology startups, internet startups, executive coaching  "~" 2828 SW Corbett Ave."~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~us"
"Info Session: OEN Angel Oregon Investment Program"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" angel investing, startup, Angel Oregon  "~" 2828 SW Corbett Ave."~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~us"
"PDXWIT Yoga and Mindfulness to Reboot in a High Tech World"~"2_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" PDX Women In Tech, technology, portland  "~" 1028 Southeast Water Avenue"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~US"
"WaCo EE and Technologists Meetup - Projects and Mentoring"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" electronics, cloud computing, professional networking, Hardware Engineering, Internet of Things, embedded systems, technology startups, mentorship  "~" 12375 Sw 5th St"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"Oregon~Beaverton~United"
"Portland Linux/Unix Group"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" beer linux networking plug education unix bsd devops open source  "~" 1930 SW 4th Avenue"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~US"
"Free Code Camp PDX Study Group/Networking Night"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" free code camp, javascript, code.  "~" false"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"~false~"
"Portland HoloLens Meetup"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" ar, augmented reality, c sharp, c#, hololens, microsoft, mixed reality, unity, windows holographic  "~" 411 NW Flanders St"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~USA"
"GraphQLPDX Presentation Night"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" graphql, javascript, elixir, node, react  "~" 711 SW Alder St. Suite 400"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~us"
"Cynefin Meetup - A Leader's Guide to Decision Making"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" agile, Cynefin, complexity, management, decision making, leadership  "~" 1332 W Burnside St."~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"Oregon~Portland~US"
"OEN PubTalk: A Budding Industry – Opportunities in Cannabis"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" pubtalk, cannabis, happy hour  "~" 1945 NW Quimby"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~US"
"PDXWIT Becoming Eli – My Child’s Journey from Daughter to Son"~"3_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" portland oregon, networking, Science & Tech, women in tech  "~" 1060 Nw 9th Ave"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~US"
"PLUG Linux Clinic"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" open source linux bsd unix help support Linux Help clinic  "~" 1731 SE 10th Avenue"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~US"
"PdxDevOps"~"2_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" devops, pdxdevops  "~" 111 SW 5th Avenue"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~us"
"Portland Geek Dinner"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~"Tags: No Tags"~"NOADDRESS"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"~NOADDRESS~"
"Emotional Intelligence in Design"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" refreshPDX, design  "~" 1140 SW 11th Ave                          Suite 200"~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"OR~Portland~US"
"Pentesting: Find Where Your Systems are Vulnerable"~"1_seeded@example.com"~"password"~"password"~FALSE~TRUE~FALSE~FALSE~FALSE~TRUE~Time.zone.now~" security, privacy, pentesting, penetration testing, ta3m, mozilla, netspi  "~" 1120 NW Couch St."~"Portland,Oregon,Portland Oregon,USA,Gresham,Oregon,Gresham Oregon,USA,Mars"~"Oregon~Portland~US"
